x,y
4.053951981379509,-4.320979764348207
7.442350887800262,-2.0092166634453514
10.665496251370183,-2.3324503478146346
2.6777329951468705,-2.430630873109344
1.934282277767561,-6.917514168813471
2.514242088278264,-2.5293643810320168
2.66688617395633,-6.94844860213272
2.8185559469522325,-1.8819871529184475
8.453139532560236,-3.0385990371578977
3.1015090429972,-6.197773858218294
9.503312689098774,-3.4791636549364258
8.613947042783415,-3.2757064198259256
10.23557252908109,-3.882200833085257
4.478011613704917,-6.645642173062379
1.7507934763641584,-2.985479653430408
3.61612625033701,-6.510363718349493
10.092243780613666,-2.113960070722807
8.658226264534791,-3.144519235137887
9.704330934839929,-1.9318645033169932
3.249563152813107,-7.211600230450735
3.904171865490057,-1.646297263782419
0.8067257109108232,-8.408865364449602
8.735762670520085,-3.4910351607512005
2.8251974618021065,-7.208246047370454
9.843375982825725,-3.0523537069852105
3.6687982834005783,-2.643563046069268
2.3108395665259924,-3.2000073696853417
2.580377013686223,-3.4488279359882923
9.696737266827393,-3.0190854803566918
8.744314403129819,-2.9215752164065654
8.681723538077573,-3.4448478589859497
3.356102139486186,-2.0049145055950035
3.778394197267815,-3.6428471099768323
3.0105076398838717,-0.5596828474377518
3.7395156513740218,-7.4613881529277455
4.422701061847693,-7.864529273147997
2.0978910029080637,-0.4160048753455268
8.908842374825118,-2.3630774603120748
3.0171673144943107,-3.491885673939544
10.724844872979363,-2.2293360395149406
9.279898054179966,-2.576885388251021
3.8634410917715334,-7.728809997913276
2.062026218399474,-6.827205280646613
3.2208195844742376,-7.328838414575768
6.941981749815447,-3.9701751041721933
4.381721914496113,-5.0819153260474135
10.892160378061831,-4.826882450967614
3.0058992269884257,-5.4992018878454125
10.717308454619703,-3.242766435522272
9.616651146057748,-3.1726562457451157
9.02499606963009,-2.6954077905451777
4.789475884298671,-6.587184984179869
9.833125922692544,-2.8685580441373677
8.919490688189637,-2.2634621843205807
3.5602039011720534,-7.343150144176357
4.478484630859117,-7.252481670001101
3.5159497012733136,-0.8821254696506038
4.295090615172491,-6.423005079128699
4.093702650922086,-7.480729429406343
9.96812620724737,-4.352986838180343
4.940948303584638,-7.770583976882161
8.003784759137975,-3.965613143840734
2.243977954777433,-7.857204703801434
3.4778249760401603,-0.31061758830454256
2.259595376821199,-2.0167846681364083
4.3916041032351085,-1.6416207758903076
9.871751068613829,-1.0235908553130724
3.5712982997677054,-5.113571803454472
4.308380607176652,-3.0497853260706185
3.3955157937375344,-6.903033568346283
1.8223373909117448,-6.321226617450719
2.5333834080814563,-0.19973437325626356
3.852766920994379,-5.18967410910829
9.497117735916607,-3.450040210271569
9.022675776465263,-3.1215965824585865
7.806972747551728,-1.6609949355597102
2.6763851629398983,-2.313567723965436
3.5463599517732787,-7.002903365830018
2.4112974926869755,-1.079454341056575
